,Unnamed: 0,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Keyless_Entry,Power,Torque,Odo,Speedo,Tacho,Trip,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_MP3_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Diing_Rear-View_Mirror,Hill_Assist,Gear_Indicator,Engine_Iobilizer,Seat_Back_Pockets,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Adjustable_Steering_Column,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Leather_Wrapped_Steering,Automatic_Headlamps,ASR_Traction_Control,Cruise_Control
0,0,Tata,Nano Genx,Xt,292667,624,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5,23.6,17,23.6,660,4,180,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,155/65R12,Electric Power,Only Front Windows,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,TRUE,4,Fabric,Manual,2230,4 B X 12,TRUE,TRUE,CD Player with USB & Aux-in,TRUE,TRUE,2 years /75000 Kms (years/distance whichever comes first),TRUE,Internal,110,TRUE,TRUE,TRUE,Digital,Front,TRUE,Front,TRUE,2 years /150000 Kms (years/distance whichever comes first),TRUE,Internal,Digital,Manual,Analog + Digital,TRUE,4,TRUE,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",FALSE,FALSE,FALSE,FALSE,4,"Rake, Reach",Rear sensors with camera,FALSE,FALSE,FALSE,Touch Sensitive,Multifunction Steering Wheel,FALSE,FALSE,Manual Adjustment,FALSE,FALSE,Cup Holders,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,1,Tata,Nano Genx,Xe,236447,624,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5,23.6,17,23.6,725,4,180,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,155/65R12,Electric Power,All Windows,Smart Key,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,TRUE,4,Fabric,Manual,2230,4 B X 12,FALSE,TRUE,Not on offer,FALSE,TRUE,2 years /75000 Kms (years/distance whichever comes first),FALSE,Internal,110,FALSE,FALSE,TRUE,Digital,Front,TRUE,Front,TRUE,2 years /150000 Kms (years/distance whichever comes first),FALSE,Internal,Digital,Manual,Analog + Digital,TRUE,4,TRUE,Driver & Front Passenger,Not Applicable,Fully automatic climate control,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",FALSE,FALSE,FALSE,FALSE,4,"Rake, Reach",Rear sensors with camera,FALSE,FALSE,FALSE,Touch Sensitive,Multifunction Steering Wheel,FALSE,FALSE,Manual Adjustment,FALSE,FALSE,Cup Holders,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,2,Tata,Nano Genx,Emax Xm,296661,624,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,15,CNG,1652,3164,1750,Hatchback,4,52,17,23,710,4,180,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,155/65R12,Electric Power,All Windows,Smart Key,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,TRUE,4,Fabric,Manual,2230,4 B X 12,FALSE,TRUE,Not on offer,FALSE,TRUE,2 years /75000 Kms (years/distance whichever comes first),FALSE,Internal,110,FALSE,FALSE,TRUE,Digital,Front,TRUE,Front,TRUE,2 years /150000 Kms (years/distance whichever comes first),FALSE,Internal,Digital,Manual,Analog + Digital,TRUE,4,TRUE,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",FALSE,FALSE,FALSE,FALSE,4,"Rake, Reach",Rear sensors with camera,FALSE,FALSE,FALSE,Touch Sensitive,Multifunction Steering Wheel,FALSE,FALSE,Manual Adjustment,FALSE,FALSE,Cup Holders,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,3,Tata,Nano Genx,Xta,334768,624,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5,23.6,17,21.9,725,5,180,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,155/65R12,Electric Power,Only Front Windows,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,TRUE,4,Fabric,Automatic,2230,4 B X 12,TRUE,TRUE,CD Player with USB & Aux-in,TRUE,TRUE,2 years /75000 Kms (years/distance whichever comes first),TRUE,Internal,94,TRUE,TRUE,TRUE,Digital,Front,TRUE,Front,TRUE,2 years /150000 Kms (years/distance whichever comes first),TRUE,Internal,Digital,Manual,Analog + Digital,TRUE,4,TRUE,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",FALSE,FALSE,FALSE,FALSE,4,"Rake, Reach",Rear sensors with camera,FALSE,FALSE,FALSE,Touch Sensitive,Multifunction Steering Wheel,FALSE,FALSE,Manual Adjustment,FALSE,FALSE,Cup Holders,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,4,Tata,Nano Genx,Xm,272223,624,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5,23.6,17,23.6,725,4,180,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,155/65R12,Electric Power,All Windows,Smart Key,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,TRUE,4,Fabric,Manual,2230,4 B X 12,FALSE,TRUE,Not on offer,FALSE,TRUE,2 years /75000 Kms (years/distance whichever comes first),FALSE,Internal,110,FALSE,FALSE,TRUE,Digital,Front,TRUE,Front,TRUE,2 years /150000 Kms (years/distance whichever comes first),FALSE,Internal,Digital,Manual,Analog + Digital,TRUE,4,TRUE,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",FALSE,FALSE,FALSE,FALSE,4,"Rake, Reach",Rear sensors with camera,FALSE,FALSE,FALSE,Touch Sensitive,Multifunction Steering Wheel,FALSE,FALSE,Manual Adjustment,FALSE,FALSE,Cup Holders,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,5,Tata,Nano Genx,Xma,314815,624,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5,23.6,17,21.9,710,5,180,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,155/65R12,Electric Power,All Windows,Smart Key,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,TRUE,4,Fabric,Automatic,2230,4 B X 12,FALSE,TRUE,Not on offer,FALSE,TRUE,2 years /75000 Kms (years/distance whichever comes first),FALSE,Internal,94,FALSE,FALSE,TRUE,Digital,Not on offer,TRUE,Front,TRUE,2 years /150000 Kms (years/distance whichever comes first),FALSE,Internal,Digital,Manual,Analog + Digital,TRUE,4,TRUE,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",TRUE,FALSE,FALSE,FALSE,4,"Rake, Reach",Rear sensors with camera,FALSE,FALSE,FALSE,Touch Sensitive,Multifunction Steering Wheel,FALSE,FALSE,Manual Adjustment,FALSE,FALSE,Cup Holders,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,6,Datsun,Redi-Go,D,279650,799,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5,21.38,24,25.17,1785,5,185,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1490,1540,80/155R13,80/155R13,Electric Power,All Windows,Smart Key,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,TRUE,5,Fabric,Manual,2348,80/155R13,FALSE,TRUE,Not on offer,FALSE,TRUE,2 years / Unlimited Kms,FALSE,Internal,222,FALSE,FALSE,TRUE,Digital,Not on offer,TRUE,Front & Rear,TRUE,2 Years/Unlimited Kms (Whichever comes earlier),FALSE,Internal,Digital,Manual,Analog + Digital,TRUE,4.7,TRUE,Driver & Front Passenger,Not Applicable,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",FALSE,FALSE,FALSE,FALSE,4,"Rake, Reach",Rear sensors with camera,FALSE,FALSE,FALSE,Touch Sensitive,Multifunction Steering Wheel,FALSE,FALSE,Manual Adjustment,FALSE,FALSE,Cup Holders,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,7,Datsun,Redi-Go,T,351832,799,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5,21.38,24,25.17,1785,5,185,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1490,1540,80/155R13,80/155R13,Electric Power,Only Front Windows,Smart Key,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,TRUE,5,Fabric,Manual,2348,80/155R13,FALSE,TRUE,CD Player with USB & Aux-in,TRUE,TRUE,2 years / Unlimited Kms,FALSE,Internal,222,TRUE,TRUE,TRUE,Digital,Front,TRUE,Front,TRUE,2 Years/Unlimited Kms (Whichever comes earlier),TRUE,Internal,Digital,Manual,Analog + Digital,TRUE,4.7,TRUE,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",FALSE,FALSE,FALSE,FALSE,4,"Rake, Reach",Rear sensors with camera,FALSE,TRUE,FALSE,Touch Sensitive,Multifunction Steering Wheel,FALSE,FALSE,Manual Adjustment,FALSE,FALSE,Cup Holders,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,8,Datsun,Redi-Go,A,333419,799,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5,21.38,24,25.17,1785,5,185,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1490,1540,80/155R13,80/155R13,Electric Power,All Windows,Smart Key,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,TRUE,5,Fabric,Manual,2348,80/155R13,FALSE,TRUE,Not on offer,FALSE,TRUE,2 years / Unlimited Kms,FALSE,Internal,222,FALSE,FALSE,TRUE,Digital,Front,TRUE,Front,TRUE,2 Years/Unlimited Kms (Whichever comes earlier),FALSE,Internal,Digital,Manual,Analog + Digital,TRUE,4.7,TRUE,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",FALSE,FALSE,FALSE,FALSE,4,"Rake, Reach",Rear sensors with camera,FALSE,FALSE,FALSE,Touch Sensitive,Multifunction Steering Wheel,FALSE,FALSE,Manual Adjustment,FALSE,FALSE,Cup Holders,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,9,Datsun,Redi-Go,S,362000,799,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5,21.38,24,25.17,1785,5,185,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1490,1540,80/155R13,80/155R13,Electric Power,All Windows,Smart Key,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,TRUE,5,Fabric,Manual,2348,80/155R13,FALSE,TRUE,CD Player with USB & Aux-in,TRUE,TRUE,2 years / Unlimited Kms,FALSE,"With Remote, Internal",222,TRUE,FALSE,TRUE,Digital,Not on offer,TRUE,Front & Rear,TRUE,2 Years/Unlimited Kms (Whichever comes earlier),TRUE,Internal,Digital,Manual,Analog + Digital,TRUE,4.7,TRUE,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",FALSE,FALSE,FALSE,FALSE,4,"Rake, Reach",Rear sensors,FALSE,FALSE,FALSE,Touch Sensitive,Multifunction Steering Wheel,FALSE,FALSE,Manual Adjustment,FALSE,FALSE,Cup Holders,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
